"","Tm","X.Bat","BatAge","R.G","G","PA","AB","RS","Hits.Made","X2B","X3B","HR.Made","RBI","SB","CS","BB.Made","SO.Batting","BA","OBP","SLG","OPS","OPS.PLUS","TB","GDP","HBP.Batting","SH","SF","IBB.Batting","LOB.Batting","X.P","PAge","RAperG","W","L","W.L.","ERA","GS","GF","CG","tSho","cSho","SV","IP","Hits.Allowed","RA","ER","HR.Allowed","BB.Allowed","IBB.Pitching","SO.Pitching","HBP.Pitching","BK","WP","BF","ERA.PLUS","FIP","WHIP","H9","HR9","BB9","SO9","SO.Walk","LOB.Pitching","year","RS.RA","PO","WS","X.Fld","RunsAllowedPerGame","DefEff","Inn","Ch","PO.Fielding","A","E","DP","Fld.Percent","Rtot","Rtot.yr"
"59","Kansas City Royals1971",35,27.2,3.75,161,5914,5295,603,1323,225,40,80,573,130,46,490,819,0.25,0.313,0.353,0.666,91,1868,128,25,45,59,54,1074,16,26.7,3.52,85,76,0.528,3.25,161,127,34,15,11,44,1420.1,1301,566,513,84,496,21,775,36,1,41,5925,105,3.25,1.265,8.2,0.5,3.1,4.9,1.56,1099,1971,37,0,0,35,3.52,0.713,12783,6181,4244,1805,132,178,0.979,1,0
"60","Los Angeles Dodgers1971",34,28.7,4.09,162,6156,5523,663,1469,213,38,95,631,76,40,489,755,0.266,0.325,0.37,0.695,102,2043,140,21,72,50,62,1165,14,28.4,3.62,89,73,0.549,3.23,162,114,48,18,15,33,1449.2,1363,587,521,110,399,25,853,19,4,42,5988,100,3.13,1.215,8.5,0.7,2.5,5.3,2.14,1052,1971,76,0,0,33,3.62,0.709,13047,6332,4349,1852,131,159,0.979,-1,0
"61","Milwaukee Brewers1971",43,27.1,3.32,161,5906,5185,534,1188,160,23,104,496,82,53,543,924,0.229,0.304,0.329,0.633,81,1706,103,30,107,39,40,1095,15,26,3.78,69,92,0.429,3.38,161,129,32,23,14,32,1416.1,1303,609,532,130,569,78,795,27,4,32,5978,102,3.78,1.322,8.3,0.8,3.6,5.1,1.4,1118,1971,-75,0,0,42,3.78,0.718,12751,6072,4245,1689,138,152,0.977,40,4
"62","Minnesota Twins1971",36,28.4,4.09,160,6073,5414,654,1406,197,31,116,618,66,44,512,846,0.26,0.323,0.372,0.695,95,2013,158,25,64,57,61,1143,14,27.3,4.19,74,86,0.463,3.81,160,117,43,9,9,25,1416.2,1384,670,600,139,529,58,895,40,3,42,6069,93,3.67,1.35,8.8,0.9,3.4,5.7,1.69,1150,1971,-16,0,0,36,4.19,0.704,12750,5969,4248,1603,118,134,0.98,-32,-3
"63","Montreal Expos1971",33,28.3,3.84,162,6098,5335,622,1312,197,29,88,567,51,43,543,800,0.246,0.322,0.343,0.666,90,1831,136,78,102,40,58,1152,12,27,4.5,71,90,0.441,4.12,162,114,48,8,8,25,1434.1,1418,729,656,133,658,73,829,31,3,62,6233,85,3.94,1.447,8.9,0.8,4.1,5.2,1.26,1201,1971,-107,0,0,33,4.5,0.698,12909,6265,4303,1812,150,164,0.976,4,0
"64","New York Mets1971",34,26.7,3.63,162,6178,5477,588,1365,203,29,98,546,89,43,547,958,0.249,0.319,0.351,0.669,92,1920,147,28,91,35,59,1176,13,26.1,3.4,83,79,0.512,2.99,162,120,42,13,9,22,1466.1,1227,550,487,100,529,63,1157,40,3,41,6078,114,2.92,1.198,7.5,0.6,3.2,7.1,2.19,1129,1971,38,0,0,34,3.4,0.717,13197,6085,4399,1572,114,135,0.981,4,0
"65","New York Yankees1971",36,28.5,4,162,6165,5413,648,1377,195,43,97,607,75,55,581,717,0.254,0.328,0.36,0.688,101,1949,140,37,77,56,58,1164,15,27.3,3.96,81,80,0.503,3.43,162,95,67,15,15,12,1452,1382,641,554,126,423,73,707,23,3,48,6046,95,3.53,1.243,8.6,0.8,2.6,4.4,1.67,1049,1971,7,0,0,36,3.96,0.719,13061,6459,4351,1983,125,159,0.981,0,0
"66","Oakland Athletics1971",40,26.8,4.29,161,6198,5494,691,1383,195,25,160,642,80,53,542,1018,0.252,0.321,0.384,0.705,101,2108,113,37,80,38,54,1145,16,26.5,3.5,101,60,0.627,3.05,161,104,57,18,15,36,1469.1,1229,564,498,131,501,57,999,33,4,37,6018,109,3.34,1.177,7.5,0.8,3.1,6.1,1.99,1047,1971,127,1,0,39,3.5,0.73,13224,6180,4398,1665,117,157,0.981,45,4
"67","Philadelphia Phillies1971",35,26.4,3.44,162,6172,5538,558,1289,209,35,123,522,63,39,499,1031,0.233,0.298,0.35,0.648,83,1937,98,34,55,45,56,1165,14,28.6,4.25,67,95,0.414,3.71,162,131,31,10,9,25,1470.2,1396,688,607,132,525,39,838,37,2,53,6207,96,3.62,1.306,8.5,0.8,3.2,5.1,1.6,1107,1971,-130,0,0,35,4.25,0.713,13236,6479,4412,1945,122,158,0.981,7,1
"68","Pittsburgh Pirates1971",35,27.6,4.86,162,6285,5674,788,1555,223,61,154,744,65,31,469,919,0.274,0.33,0.416,0.746,109,2362,120,29,62,49,73,1158,15,27.7,3.7,97,65,0.599,3.31,162,119,43,15,14,48,1461,1426,599,537,108,470,78,813,31,2,37,6165,104,3.33,1.298,8.8,0.7,2.9,5,1.73,1183,1971,189,1,1,33,3.7,0.703,13149,6350,4383,1834,133,164,0.979,15,1
"69","San Diego Padres1971",40,26.4,3.02,161,5935,5366,486,1250,184,31,96,447,70,45,438,966,0.233,0.293,0.332,0.625,83,1784,134,25,87,19,42,1084,16,26.3,3.79,61,100,0.379,3.22,161,114,47,10,9,17,1438,1351,610,515,93,559,80,923,28,7,65,6124,103,3.23,1.328,8.5,0.6,3.5,5.8,1.65,1200,1971,-124,0,0,38,3.79,0.699,12942,6247,4314,1772,161,144,0.974,-41,-4
"70","San Francisco Giants1971",37,27.2,4.36,162,6259,5461,706,1348,224,36,140,653,101,36,654,1042,0.247,0.329,0.378,0.707,101,2064,126,37,69,37,86,1215,13,28.5,3.98,90,72,0.556,3.32,162,117,45,14,13,30,1454.2,1324,644,536,128,471,49,831,30,5,42,6094,103,3.49,1.234,8.2,0.8,2.9,5.1,1.76,1086,1971,62,1,0,37,3.98,0.716,13092,6293,4364,1750,179,153,0.972,-1,0
"71","St. Louis Cardinals1971",43,28.5,4.53,163,6301,5610,739,1542,225,54,95,686,124,53,543,757,0.275,0.338,0.385,0.723,102,2160,139,25,63,59,67,1196,23,27.1,4.29,90,72,0.556,3.85,163,107,56,14,14,22,1467,1482,699,628,104,576,91,911,38,6,56,6366,94,3.39,1.403,9.1,0.6,3.5,5.6,1.58,1266,1971,40,0,0,43,4.29,0.689,13203,6316,4401,1773,142,155,0.978,-63,-6
"72","Washington Senators1971",39,27.6,3.38,159,5987,5290,537,1219,189,30,86,501,68,45,575,956,0.23,0.307,0.326,0.634,86,1726,127,28,58,35,58,1149,14,26.4,4.15,63,95,0.399,3.7,159,129,30,10,7,26,1418.2,1376,660,583,132,554,74,762,45,6,43,6057,89,3.85,1.36,8.7,0.8,3.5,4.8,1.38,1141,1971,-123,0,0,39,4.15,0.707,12768,6169,4256,1772,141,170,0.977,-28,-3
"73","Atlanta Braves1972",36,27.2,4.05,155,5939,5278,628,1363,186,17,144,593,47,35,532,770,0.258,0.328,0.382,0.71,95,2015,131,35,55,38,44,1158,17,28.2,4.71,70,84,0.455,4.27,155,115,40,4,4,27,1377,1412,730,654,155,512,55,732,26,8,69,5967,89,3.97,1.397,9.2,1,3.3,4.8,1.43,1106,1972,-102,0,0,36,4.71,0.701,12397,5920,4131,1633,156,130,0.974,-38,-4
"74","Baltimore Orioles1972",32,28.7,3.37,154,5676,5028,519,1153,193,29,100,483,78,41,507,935,0.229,0.302,0.339,0.641,89,1704,113,36,65,40,57,1042,11,28.8,2.79,80,74,0.519,2.53,154,92,62,20,18,21,1371.2,1116,430,386,85,395,52,788,15,2,35,5493,121,2.95,1.102,7.3,0.6,2.6,5.2,1.99,948,1972,89,0,0,32,2.79,0.74,12345,5866,4113,1653,100,150,0.983,78,8
"75","Boston Red Sox1972",38,28.9,4.13,155,5872,5208,640,1289,229,34,124,594,66,30,522,858,0.248,0.318,0.376,0.694,101,1958,111,37,56,48,49,1106,17,28.9,4,85,70,0.548,3.47,155,107,48,20,18,25,1382.2,1309,620,533,101,512,49,918,39,2,32,5875,93,3.22,1.317,8.5,0.7,3.3,6,1.79,1107,1972,20,0,0,37,4,0.699,12444,5885,4145,1610,130,141,0.978,-43,-4
"76","California Angels1972",40,29.1,2.93,155,5640,5165,454,1249,171,26,78,420,57,37,358,850,0.242,0.293,0.33,0.623,91,1706,125,25,66,25,52,1044,16,27.5,3.44,75,80,0.484,3.06,155,98,57,18,17,16,1377.2,1109,533,469,90,620,53,1000,28,3,49,5747,96,3.21,1.255,7.2,0.6,4.1,6.5,1.61,1083,1972,-79,0,0,38,3.44,0.727,12399,5853,4132,1607,114,135,0.981,8,1
"77","Chicago Cubs1972",41,30,4.39,156,5951,5247,685,1346,206,40,133,634,69,47,565,815,0.257,0.33,0.387,0.717,96,2031,126,28,67,43,78,1099,15,28.7,3.63,85,70,0.548,3.22,156,102,54,19,18,32,1398.2,1329,567,500,112,421,56,824,34,4,32,5848,118,3.24,1.251,8.6,0.7,2.7,5.3,1.96,1085,1972,118,0,0,39,3.63,0.707,12588,6217,4196,1889,132,148,0.979,-25,-2
"78","Chicago White Sox1972",40,26.6,3.68,154,5721,5083,566,1208,170,28,108,528,100,52,511,991,0.238,0.31,0.346,0.656,93,1758,113,34,68,25,69,1037,17,26,3.49,87,67,0.565,3.12,154,118,36,14,11,42,1385.1,1269,538,480,94,431,29,936,27,2,47,5743,102,2.92,1.227,8.2,0.6,2.8,6.1,2.17,1049,1972,28,0,0,40,3.49,0.704,12468,5967,4146,1686,135,136,0.977,-65,-6
"79","Cincinnati Reds1972",31,27.2,4.59,154,6006,5241,707,1317,214,44,124,650,140,63,606,914,0.251,0.33,0.38,0.71,107,1991,109,37,65,54,85,1113,13,25.5,3.62,95,59,0.617,3.21,154,129,25,15,9,60,1412.2,1313,557,504,129,435,62,806,20,1,42,5862,101,3.41,1.237,8.4,0.8,2.8,5.1,1.85,1067,1972,150,1,1,31,3.62,0.719,12714,6016,4238,1668,110,143,0.982,53,5
"80","Cleveland Indians1972",36,25.4,3.03,156,5770,5207,472,1220,186,18,91,440,49,53,420,762,0.234,0.293,0.329,0.622,82,1715,112,26,83,33,62,1060,16,26.6,3.33,72,84,0.462,2.92,156,109,47,13,11,25,1410,1232,519,457,123,534,92,846,40,4,43,5877,109,3.55,1.252,7.9,0.8,3.4,5.4,1.58,1129,1972,-47,0,0,36,3.33,0.727,12690,6079,4227,1736,116,157,0.981,48,5
"81","Detroit Tigers1972",44,30.7,3.58,156,5721,5099,558,1206,179,32,122,531,17,21,483,793,0.237,0.305,0.356,0.661,94,1815,125,31,74,34,65,1025,20,27.8,3.29,86,70,0.551,2.96,156,110,46,11,11,33,1388.1,1212,514,457,101,465,41,952,47,0,41,5748,108,3.08,1.208,7.9,0.7,3,6.2,2.05,1069,1972,44,1,0,43,3.29,0.719,12497,5874,4161,1617,96,137,0.984,8,1
"82","Houston Astros1972",32,27.3,4.63,153,5936,5267,708,1359,233,38,134,660,111,56,524,907,0.258,0.326,0.393,0.719,106,2070,98,32,62,51,69,1096,14,26.3,4.16,84,69,0.549,3.77,153,115,38,14,13,31,1385.1,1340,636,580,114,498,33,971,38,4,58,5890,89,3.23,1.327,8.7,0.7,3.2,6.3,1.95,1098,1972,72,0,0,32,4.16,0.695,12468,5943,4156,1671,116,151,0.98,-66,-6
"83","Kansas City Royals1972",34,27.7,3.77,154,5849,5167,580,1317,220,26,78,547,85,44,534,711,0.255,0.327,0.353,0.679,104,1823,134,34,72,38,57,1118,15,27.4,3.54,76,78,0.494,3.24,154,110,44,16,14,28,1381.1,1293,545,497,85,405,33,801,30,3,37,5698,93,2.98,1.229,8.4,0.6,2.6,5.2,1.98,1009,1972,35,0,0,34,3.54,0.707,12431,6015,4140,1759,116,164,0.981,-16,-2
"84","Los Angeles Dodgers1972",36,28.5,3.77,155,5904,5270,584,1349,178,39,98,543,82,39,480,786,0.256,0.319,0.36,0.679,95,1899,121,24,89,40,53,1124,14,30.3,3.4,85,70,0.548,2.78,155,105,50,23,21,29,1403,1196,527,434,83,429,36,856,34,3,43,5795,121,2.94,1.158,7.7,0.5,2.8,5.5,2,1059,1972,57,0,0,36,3.4,0.721,12627,6177,4209,1806,162,145,0.974,9,1
"85","Milwaukee Brewers1972",35,26.6,3.16,156,5733,5124,493,1204,167,22,88,461,64,57,472,868,0.235,0.302,0.328,0.629,90,1679,144,29,78,30,42,1031,14,25.9,3.81,65,91,0.417,3.45,156,119,37,14,10,32,1391.2,1289,595,534,116,486,82,740,33,1,41,5857,88,3.54,1.275,8.3,0.8,3.1,4.8,1.52,1087,1972,-102,0,0,35,3.81,0.718,12525,5916,4175,1602,139,145,0.977,30,3
"86","Minnesota Twins1972",33,27.3,3.49,154,5848,5234,537,1277,182,31,93,506,53,41,478,905,0.244,0.31,0.344,0.654,91,1800,129,35,73,28,53,1097,12,26.9,3.47,77,77,0.5,2.84,154,117,37,17,11,34,1399.1,1188,535,441,105,444,42,838,37,5,26,5750,113,3.21,1.166,7.6,0.7,2.9,5.4,1.89,1018,1972,2,0,0,33,3.47,0.725,12594,6087,4198,1730,159,133,0.974,59,6
"87","Montreal Expos1972",30,26.9,3.29,156,5820,5156,513,1205,156,22,91,462,68,66,474,828,0.234,0.303,0.325,0.628,78,1678,96,49,108,30,55,1078,12,25.9,3.9,70,86,0.449,3.59,156,117,39,11,10,23,1401.1,1281,609,559,103,579,60,888,26,8,47,5914,98,3.38,1.327,8.2,0.7,3.7,5.7,1.53,1101,1972,-96,0,0,30,3.9,0.708,12620,6127,4204,1789,134,141,0.978,23,2
"88","New York Mets1972",34,27.3,3.38,156,5883,5135,528,1154,175,31,105,490,41,41,589,990,0.225,0.307,0.332,0.639,84,1706,127,34,86,39,70,1121,14,26.1,3.71,83,73,0.532,3.26,156,124,32,12,8,41,1414.2,1263,578,513,118,486,63,1059,30,2,53,5897,103,3.08,1.236,8,0.8,3.1,6.7,2.18,1075,1972,-50,0,0,34,3.71,0.71,12732,5899,4244,1539,116,122,0.98,-54,-5
"89","New York Yankees1972",36,28.8,3.59,155,5795,5168,557,1288,202,24,103,526,71,42,491,689,0.249,0.316,0.357,0.674,103,1847,112,29,74,31,47,1116,18,28.1,3.4,79,76,0.51,3.05,155,120,35,19,14,39,1373.1,1306,527,465,87,419,61,625,30,1,47,5726,97,3.29,1.256,8.6,0.6,2.7,4.1,1.49,1079,1972,30,0,0,35,3.4,0.713,12360,6114,4120,1860,134,179,0.978,-3,0
"90","Oakland Athletics1972",47,27.7,3.9,155,5851,5200,604,1248,195,29,134,565,87,48,463,886,0.24,0.306,0.366,0.672,104,1903,112,47,100,36,55,1038,15,27,2.95,93,62,0.6,2.58,155,113,42,23,15,43,1417.2,1170,457,406,96,418,41,862,19,2,29,5718,111,2.99,1.12,7.4,0.6,2.7,5.5,2.06,1010,1972,147,1,1,45,2.95,0.732,12759,6075,4250,1695,130,146,0.979,50,5
"91","Philadelphia Phillies1972",38,26.2,3.22,156,5862,5248,503,1240,200,36,98,469,42,50,487,930,0.236,0.302,0.344,0.646,82,1806,104,22,69,36,50,1106,16,27,4.07,59,97,0.378,3.66,156,113,43,13,13,15,1400,1318,635,570,117,536,75,927,29,8,51,5932,98,3.37,1.324,8.5,0.8,3.4,6,1.73,1097,1972,-132,0,0,38,4.07,0.705,12602,6025,4200,1709,116,142,0.981,-3,0
"92","Pittsburgh Pirates1972",33,28,4.46,155,6023,5490,691,1505,251,47,110,654,49,30,404,871,0.274,0.324,0.397,0.721,106,2180,110,25,52,50,69,1142,13,27.9,3.3,96,59,0.619,2.81,155,116,39,15,9,48,1414.1,1282,512,441,90,433,60,838,29,3,34,5845,120,3.02,1.213,8.2,0.6,2.8,5.3,1.94,1090,1972,179,1,0,32,3.3,0.712,12729,6120,4243,1741,136,171,0.978,17,2
"93","San Diego Padres1972",41,25.1,3.19,153,5750,5213,488,1181,168,38,102,452,78,46,407,976,0.227,0.283,0.332,0.615,81,1731,97,15,90,25,53,1006,15,25.2,4.35,58,95,0.379,3.78,153,114,39,17,15,19,1403.2,1350,665,589,121,618,90,960,40,11,63,6090,87,3.56,1.402,8.7,0.8,4,6.2,1.55,1214,1972,-177,0,0,40,4.35,0.696,12633,5976,4211,1621,144,146,0.976,-67,-6
"94","San Francisco Giants1972",36,25.4,4.27,155,5858,5245,662,1281,211,36,150,600,123,45,480,964,0.244,0.309,0.384,0.693,95,2014,107,30,64,39,42,1018,15,27,4.19,69,86,0.445,3.69,155,111,44,8,7,23,1386.1,1309,649,569,130,507,57,771,31,6,53,5887,95,3.67,1.31,8.5,0.8,3.3,5,1.52,1079,1972,13,0,0,36,4.19,0.713,12477,5974,4159,1659,156,121,0.974,-4,0
"95","St. Louis Cardinals1972",47,27.6,3.64,156,5885,5326,568,1383,214,42,70,518,104,48,437,793,0.26,0.317,0.355,0.672,92,1891,141,27,58,36,61,1100,22,27.9,3.85,75,81,0.481,3.42,156,92,64,13,12,13,1399.2,1290,600,532,87,531,82,912,21,5,53,5889,101,3.09,1.301,8.3,0.6,3.4,5.9,1.72,1090,1972,-32,0,0,47,3.85,0.702,12597,6005,4199,1665,141,146,0.977,-27,-3
"96","Texas Rangers1972",38,26.1,2.99,154,5682,5029,461,1092,166,17,56,424,126,73,503,926,0.217,0.29,0.29,0.581,77,1460,100,30,84,34,41,1033,16,25.6,4.08,54,100,0.351,3.53,154,143,11,8,6,34,1374.2,1258,628,539,92,613,74,868,48,4,44,5910,86,3.45,1.361,8.2,0.6,4,5.7,1.42,1159,1972,-167,0,0,38,4.08,0.703,12372,5900,4116,1618,166,147,0.972,-26,-3
"97","Atlanta Braves1973",43,28,4.93,162,6384,5631,799,1497,219,34,206,758,84,40,608,870,0.266,0.339,0.427,0.765,105,2402,112,34,65,46,66,1196,21,28.2,4.78,76,85,0.472,4.25,162,128,34,9,8,35,1462,1467,774,690,144,575,66,803,28,5,52,6302,94,3.99,1.397,9,0.9,3.5,4.9,1.4,1142,1973,25,0,0,43,4.78,0.7,13158,6361,4386,1809,166,142,0.974,-5,0
"98","Baltimore Orioles1973",33,28.3,4.65,162,6335,5537,754,1474,229,48,119,692,146,64,648,752,0.266,0.345,0.389,0.734,108,2156,126,43,58,49,49,1241,12,28.8,3.46,97,65,0.599,3.07,162,95,67,14,13,26,1461.2,1297,561,498,124,475,35,715,20,1,37,5989,121,3.71,1.212,8,0.8,2.9,4.4,1.51,1043,1973,193,1,0,33,3.46,0.731,13155,6419,4385,1915,119,184,0.981,119,11
"99","Boston Red Sox1973",32,29.5,4.56,162,6223,5513,738,1472,235,30,147,692,114,45,581,799,0.267,0.338,0.401,0.738,103,2208,143,31,54,44,49,1191,15,28.3,3.99,89,73,0.549,3.65,162,95,67,10,9,33,1440.1,1417,647,584,158,499,35,808,32,2,25,6090,110,3.98,1.33,8.9,1,3.1,5,1.62,1122,1973,91,0,0,31,3.99,0.709,12963,6171,4321,1723,127,162,0.979,57,5
"100","California Angels1973",40,29.7,3.88,162,6153,5505,629,1395,183,29,93,595,59,47,509,816,0.253,0.318,0.348,0.666,96,1915,131,34,60,45,42,1153,14,28.3,4.06,79,83,0.488,3.53,162,90,72,13,12,19,1456.1,1351,657,571,104,614,30,1010,41,6,56,6255,99,3.46,1.349,8.3,0.6,3.8,6.2,1.65,1230,1973,-28,0,0,40,4.06,0.699,13100,6217,4369,1692,156,153,0.975,-49,-4
"101","Chicago Cubs1973",36,30.3,3.81,161,6070,5363,614,1322,201,21,117,570,65,58,575,855,0.247,0.32,0.357,0.677,83,1916,144,20,75,37,77,1129,12,27.6,4.07,77,84,0.478,3.66,161,134,27,13,8,40,1437.2,1471,655,584,128,438,67,885,30,4,47,6091,108,3.47,1.328,9.2,0.8,2.7,5.5,2.02,1123,1973,-41,0,0,35,4.07,0.687,12939,6403,4313,1933,157,155,0.975,-45,-4
"102","Chicago White Sox1973",39,26,4.02,162,6137,5475,652,1400,228,38,111,598,83,73,537,952,0.256,0.324,0.372,0.696,93,2037,146,32,49,42,31,1109,15,27.6,4.35,77,85,0.475,3.86,162,114,48,15,9,35,1456,1484,705,625,110,574,19,848,38,2,38,6292,104,3.64,1.413,9.2,0.7,3.5,5.2,1.48,1219,1973,-53,0,0,38,4.35,0.69,13104,6380,4368,1868,144,165,0.977,-69,-6
"103","Cincinnati Reds1973",36,27.6,4.57,162,6304,5505,741,1398,232,34,137,686,148,55,639,947,0.254,0.332,0.383,0.715,103,2109,118,31,78,51,74,1188,13,26.7,3.83,99,63,0.611,3.4,162,123,39,17,15,43,1473,1389,621,557,135,518,90,801,29,8,36,6193,100,3.78,1.295,8.5,0.8,3.2,4.9,1.55,1153,1973,120,1,0,36,3.83,0.718,13257,6374,4419,1840,115,162,0.982,46,4
"104","Cleveland Indians1973",35,24.6,4.2,162,6179,5592,680,1429,205,29,158,636,60,68,471,793,0.256,0.315,0.387,0.702,96,2166,125,32,40,43,26,1076,16,28.6,5.1,71,91,0.438,4.58,162,107,55,9,9,21,1464.2,1532,826,746,172,602,67,883,39,3,87,6383,86,4.2,1.457,9.4,1.1,3.7,5.4,1.47,1164,1973,-146,0,0,35,5.1,0.691,13182,6431,4394,1898,139,174,0.978,-54,-5
"105","Detroit Tigers1973",39,31.7,3.96,162,6135,5508,642,1400,213,32,157,592,28,30,509,722,0.254,0.32,0.39,0.71,95,2148,147,39,48,31,47,1167,16,30.4,4.16,85,77,0.525,3.9,162,123,39,11,6,46,1447.2,1468,674,627,154,493,37,911,30,2,48,6158,104,3.77,1.355,9.1,1,3.1,5.7,1.85,1141,1973,-32,0,0,38,4.16,0.698,13029,6164,4343,1709,112,144,0.982,-19,-2
"106","Houston Astros1973",39,28,4.2,162,6155,5532,681,1391,216,35,134,634,92,48,469,962,0.251,0.312,0.376,0.688,91,2079,135,33,83,36,72,1094,15,26.3,4.15,82,80,0.506,3.75,162,117,45,14,13,26,1460.2,1389,672,608,111,575,64,907,29,5,52,6236,95,3.55,1.345,8.6,0.7,3.5,5.6,1.58,1182,1973,9,0,0,39,4.15,0.707,13146,6174,4382,1676,116,140,0.981,0,0
"107","Kansas City Royals1973",39,27.7,4.66,162,6274,5508,755,1440,239,40,114,703,105,69,644,696,0.261,0.339,0.381,0.72,98,2101,134,26,49,47,44,1178,16,25.9,4.64,88,74,0.543,4.19,162,122,40,7,6,41,1449.1,1521,752,675,114,617,75,790,33,6,43,6322,97,3.84,1.475,9.4,0.7,3.8,4.9,1.28,1223,1973,3,0,0,39,4.64,0.683,13044,6432,4348,1917,167,192,0.974,-55,-5
"108","Los Angeles Dodgers1973",33,27,4.17,162,6267,5604,675,1473,219,29,110,623,109,50,497,795,0.263,0.323,0.371,0.694,96,2080,123,28,81,57,92,1163,14,29.9,3.49,95,66,0.59,3,162,117,45,15,13,38,1491,1270,565,497,129,461,38,961,29,4,47,6100,117,3.39,1.161,7.7,0.8,2.8,5.8,2.08,1062,1973,110,0,0,31,3.49,0.729,13419,6484,4473,1886,125,166,0.981,58,5
"109","Milwaukee Brewers1973",35,25.8,4.37,162,6228,5526,708,1399,229,40,145,669,110,66,563,977,0.253,0.325,0.388,0.713,103,2143,114,42,61,35,44,1130,16,26,4.51,74,88,0.457,3.98,162,112,50,11,7,28,1454,1476,731,643,119,623,54,671,28,7,57,6306,95,4.05,1.444,9.1,0.7,3.9,4.2,1.08,1213,1973,-23,0,0,35,4.51,0.702,13086,6272,4362,1765,145,167,0.977,0,0
"110","Minnesota Twins1973",33,28,4.56,162,6332,5625,738,1521,240,44,120,688,87,46,598,954,0.27,0.342,0.393,0.735,104,2209,150,34,34,40,49,1248,13,26.6,4.27,81,81,0.5,3.77,162,114,48,18,17,34,1451.2,1443,692,608,115,519,16,879,36,5,61,6210,105,3.53,1.352,8.9,0.7,3.2,5.4,1.69,1164,1973,46,0,0,32,4.27,0.696,13065,6255,4355,1761,139,147,0.978,-19,-2
"111","Montreal Expos1973",41,27.7,4.12,162,6255,5369,668,1345,190,23,125,613,77,68,695,777,0.251,0.34,0.364,0.704,93,1956,144,44,115,28,76,1232,15,26.2,4.33,79,83,0.488,3.71,162,136,26,6,5,38,1451.2,1356,702,599,128,681,74,866,31,6,59,6271,102,3.99,1.403,8.4,0.8,4.2,5.4,1.27,1214,1973,-34,0,0,39,4.33,0.708,13065,6365,4356,1846,163,156,0.974,38,4
"112","New York Mets1973",40,27.9,3.78,161,6165,5457,608,1345,198,24,85,553,27,22,540,805,0.246,0.315,0.338,0.653,83,1846,147,23,108,36,54,1170,16,27.2,3.65,82,79,0.509,3.26,161,114,47,15,9,40,1465,1345,588,531,127,490,67,1027,23,1,39,6127,111,3.34,1.253,8.3,0.8,3,6.3,2.1,1144,1973,20,1,1,38,3.65,0.708,13185,6206,4395,1685,126,140,0.98,-2,0
"113","New York Yankees1973",36,30.2,3.96,162,6064,5492,641,1435,212,17,131,616,47,43,489,680,0.261,0.322,0.378,0.7,101,2074,142,22,27,34,34,1133,15,29.4,3.77,80,82,0.494,3.34,162,115,47,16,10,39,1427.2,1379,610,530,109,457,50,708,26,1,42,5997,110,3.58,1.286,8.7,0.7,2.9,4.5,1.55,1104,1973,31,0,0,35,3.77,0.708,12849,6376,4283,1937,156,172,0.976,14,1
"114","Oakland Athletics1973",40,28.4,4.68,162,6258,5507,758,1431,216,28,147,714,128,57,595,919,0.26,0.333,0.389,0.722,108,2144,118,35,67,53,53,1165,12,26.8,3.8,94,68,0.58,3.29,162,116,46,16,12,41,1457.1,1311,615,532,143,494,27,797,30,5,52,6048,109,3.83,1.239,8.1,0.9,3.1,4.9,1.61,1061,1973,143,1,1,38,3.8,0.726,13116,6219,4372,1710,137,170,0.978,84,8
"115","Philadelphia Phillies1973",35,26.6,3.96,162,6157,5546,642,1381,218,29,134,592,51,47,476,979,0.249,0.31,0.371,0.681,87,2059,91,33,56,45,68,1147,15,26.4,4.43,71,91,0.438,3.99,162,113,49,11,10,22,1447.1,1435,717,642,131,632,97,919,32,2,61,6241,95,3.85,1.428,8.9,0.8,3.9,5.7,1.45,1182,1973,-75,0,0,35,4.43,0.693,13026,6238,4342,1762,134,179,0.979,-11,-1
"116","Pittsburgh Pirates1973",36,27.2,4.35,162,6170,5608,704,1465,257,44,154,664,23,30,432,842,0.261,0.315,0.405,0.72,101,2272,130,27,60,40,73,1107,16,28.8,4.28,80,82,0.494,3.73,162,136,26,11,9,44,1450.2,1426,693,602,110,564,85,839,40,4,42,6244,95,3.64,1.372,8.8,0.7,3.5,5.2,1.49,1199,1973,11,0,0,35,4.28,0.698,13056,6334,4352,1831,151,156,0.976,-19,-2
"117","San Diego Padres1973",32,25.2,3.38,162,5986,5457,548,1330,198,26,112,516,88,36,401,966,0.244,0.296,0.351,0.647,87,1916,115,21,73,33,46,1086,12,25.4,4.75,60,102,0.37,4.16,162,128,34,10,10,23,1430,1461,770,661,157,548,82,845,27,3,53,6192,83,4.02,1.405,9.2,1,3.4,5.3,1.54,1132,1973,-222,0,0,32,4.75,0.693,12870,6258,4290,1798,170,152,0.973,-50,-5
"118","San Francisco Giants1973",32,25.5,4.56,162,6274,5537,739,1452,212,52,161,684,112,52,590,913,0.262,0.335,0.407,0.742,102,2251,113,35,75,37,82,1193,14,26.8,4.33,88,74,0.543,3.79,162,129,33,8,7,44,1452.1,1442,702,612,145,485,59,787,30,5,58,6219,102,3.84,1.327,8.9,0.9,3,4.9,1.62,1160,1973,37,0,0,32,4.33,0.705,13071,6273,4357,1753,163,138,0.974,-9,-1
